0	0
5	154.7
10	153.1
15	150.9
20	153.6
25	153.9
30	154.2
35	152.6
40	152.6
45	153.5
50	153.7
55	148.8
60	146.1
65	154.6
70	154.6
75	151.6
80	34.3
85	25.6
90	20.63
95	17.39
100	14.33
105	11.94
110	9.87
115	8.23
120	6.86
125	5.67
130	4.74
135	3.89
140	3.26
145	2.62
150	2.113
155	1.766
160	1.442
165	1.127
170	0.954
175	0.783
180	0.64
185	0.514
190	0.42
195	0.345
200	0.292
205	0.2361
210	0.1961
215	0.1658
220	0.1398
225	0.1168
230	0.0992
235	0.0841
240	0.0718
245	0.0623
250	0.0545
255	0.0466
260	0.0407
265	0.0363
270	0.0321
275	0.0276
280	0.0248
285	0.022
290	0.0196
295	0.0173
300	0.0155
305	0.0136
310	0.0119
315	0.0104
320	0.0094
325	0.0085
330	0.0075
335	0.0067
340	0.0059
345	0.008
350	150.8
355	151.6
